goos: darwin
goarch: arm64
pkg: github.com/storozhukBM/thp
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:1-8          	 4530714	       285.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:2-8          	 8147433	       144.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:2-8          	 8288379	       131.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:2-8          	 8232499	       143.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:2-8          	 8241925	       131.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:2-8          	 8176216	       135.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:4-8          	17786769	        73.01 ns/op	       6 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:4-8          	17584682	        67.99 ns/op	       6 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:4-8          	17707264	        68.30 ns/op	       6 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:4-8          	17254910	        73.05 ns/op	       6 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:4-8          	16091326	        71.76 ns/op	       6 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:8-8          	35538488	        33.97 ns/op	       3 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:8-8          	35765823	        36.52 ns/op	       3 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:8-8          	34676568	        33.84 ns/op	       3 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:8-8          	35792982	        34.14 ns/op	       3 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:8-8          	32427063	        34.04 ns/op	       3 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:16-8         	64366604	        19.26 ns/op	       1 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:16-8         	63196700	        19.29 ns/op	       1 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:16-8         	64670415	        18.15 ns/op	       1 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:16-8         	62381678	        18.14 ns/op	       1 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:16-8         	66594370	        18.18 ns/op	       1 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:32-8         	100000000	        11.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:32-8         	100000000	        11.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:32-8         	100000000	        11.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:32-8         	100000000	        11.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkChanThroughput/type:thp;pCnt:1;cCnt:8;buf:32-8         	100000000	        11.29 ns/op	       0 B/op	       0 allocs/op
